episode,season,measure,region,tier,beta
s01e07b,1,humor,dorsal_str,full,0.4574192909913003
s01e07b,1,humor,ventral_str,some,0.09827445586408895
s01e07b,1,humor,ventral_str,full,0.19709982747684635
s01e08a,1,rms,rTPJ,some,0.17578949749531717
s01e08a,1,rms,rTPJ,full,0.1846428015553358
s01e08a,1,rms,visual_cortex,some,0.6200840747563401
s01e08a,1,rms,visual_cortex,full,-0.4853600969064021
s01e08a,1,rms,auditory_cortex,some,-0.17817916831438319
s01e08a,1,rms,auditory_cortex,full,-0.7604362089276961
s01e08a,1,rms,dorsal_str,some,0.19978222183197875
s01e08a,1,rms,dorsal_str,full,-0.05401763044276793
s01e08a,1,rms,ventral_str,some,-0.07354287665688286
s01e08a,1,rms,ventral_str,full,-0.2422404443676277
s01e08a,1,prob,rTPJ,some,0.05375015972791499
s01e08a,1,prob,rTPJ,full,0.27715495261633194
s01e08a,1,prob,visual_cortex,some,0.5274643363986435
s01e08a,1,prob,visual_cortex,full,0.44820803702320106
s01e08a,1,prob,auditory_cortex,some,-0.405735321643251
s01e08a,1,prob,auditory_cortex,full,-0.12312349022741687
s01e08a,1,prob,dorsal_str,some,0.2545880629978704
s01e08a,1,prob,dorsal_str,full,0.09837173884636971
s01e08a,1,prob,ventral_str,some,-0.07875025127236791
s01e08a,1,prob,ventral_str,full,-0.10704204513022392
s01e08a,1,humor,rTPJ,some,0.03665127915649266
s01e08a,1,humor,rTPJ,full,0.42768109644433305
s01e08a,1,humor,visual_cortex,some,0.6184624403124463
s01e08a,1,humor,visual_cortex,full,0.2429063200890414
s01e08a,1,humor,auditory_cortex,some,-0.1486957939735912
s01e08a,1,humor,auditory_cortex,full,-0.43110379272482713
s01e08a,1,humor,dorsal_str,some,0.17550496111355068
s01e08a,1,humor,dorsal_str,full,0.15593947982898476
s01e08a,1,humor,ventral_str,some,-0.1210116704882904
s01e08a,1,humor,ventral_str,full,-0.0466475495596023
s01e08b,1,rms,rTPJ,some,0.3059276083592188
s01e08b,1,rms,rTPJ,full,0.8822918323719068
s01e08b,1,rms,visual_cortex,some,0.2530035869901204
s01e08b,1,rms,visual_cortex,full,0.8527578968632956
s01e08b,1,rms,auditory_cortex,some,0.15472565315771877
s01e08b,1,rms,auditory_cortex,full,-0.569191578943261
s01e08b,1,rms,dorsal_str,some,0.16571407491201234
s01e08b,1,rms,dorsal_str,full,0.4020057160708498
s01e08b,1,rms,ventral_str,some,0.08217464048104141
s01e08b,1,rms,ventral_str,full,0.01566793340954356
s01e08b,1,prob,rTPJ,some,-0.026661565950380342
s01e08b,1,prob,rTPJ,full,0.8231224019979212
s01e08b,1,prob,visual_cortex,some,-0.04548281042478827
s01e08b,1,prob,visual_cortex,full,0.7650301945280094
s01e08b,1,prob,auditory_cortex,some,0.4264286528392587
s01e08b,1,prob,auditory_cortex,full,-0.41462756683400837
s01e08b,1,prob,dorsal_str,some,0.06098907261321226
s01e08b,1,prob,dorsal_str,full,0.3603688035621777
s01e08b,1,prob,ventral_str,some,0.07813105116905522
s01e08b,1,prob,ventral_str,full,0.045806660901238305
s01e08b,1,humor,rTPJ,some,0.41308517020422864
s01e08b,1,humor,rTPJ,full,0.6233789547468114
s01e08b,1,humor,visual_cortex,some,0.3303785042088299
s01e08b,1,humor,visual_cortex,full,0.6152551808362339
s01e08b,1,humor,auditory_cortex,some,-0.1274280891886791
s01e08b,1,humor,auditory_cortex,full,-0.10600385639955465
s01e08b,1,humor,dorsal_str,some,0.1818049177052518
s01e08b,1,humor,dorsal_str,full,0.32189397882019477
s01e08b,1,humor,ventral_str,some,-0.07591485582813394
s01e08b,1,humor,ventral_str,full,0.1818160564183903
s01e09a,1,rms,rTPJ,some,0.014476981326888627
s01e09a,1,rms,rTPJ,full,0.44378125592560236
s01e09a,1,rms,visual_cortex,some,0.33216972641957554
s01e09a,1,rms,visual_cortex,full,-0.34502700801926534
s01e09a,1,rms,auditory_cortex,some,-0.41596881048770235
s01e09a,1,rms,auditory_cortex,full,-0.5464432704927621
s01e09a,1,rms,dorsal_str,some,0.07370700085834687
s01e09a,1,rms,dorsal_str,full,0.424997496774675
s01e09a,1,rms,ventral_str,some,0.050539745560874524
s01e09a,1,rms,ventral_str,full,0.1352505404917199
s01e09a,1,prob,rTPJ,some,0.7774846118915395
s01e09a,1,prob,rTPJ,full,-0.052603194756516466
s01e09a,1,prob,visual_cortex,some,0.8329480049139788
s01e09a,1,prob,visual_cortex,full,-0.3526868538659207
s01e09a,1,prob,auditory_cortex,some,0.2446442695200991
s01e09a,1,prob,auditory_cortex,full,-0.8096232310713852
s01e09a,1,prob,dorsal_str,some,0.40052193863110974
s01e09a,1,prob,dorsal_str,full,0.15684705490678924
s01e09a,1,prob,ventral_str,some,0.29053104706011434
s01e09a,1,prob,ventral_str,full,-0.004185678564088226
s01e09a,1,humor,rTPJ,some,0.12548686496178374
s01e09a,1,humor,rTPJ,full,0.3219533033446229
s01e09a,1,humor,visual_cortex,some,-0.07869713379166032
s01e09a,1,humor,visual_cortex,full,0.1565531947763189
s01e09a,1,humor,auditory_cortex,some,-0.44462625521634
s01e09a,1,humor,auditory_cortex,full,-0.5160851808543951
s01e09a,1,humor,dorsal_str,some,0.19591695641878223
s01e09a,1,humor,dorsal_str,full,0.2841346768060706
s01e09a,1,humor,ventral_str,some,-0.0035930079522443342
s01e09a,1,humor,ventral_str,full,0.21100215168582437
